"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5723","[javascript protocol] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","4666","[javascript protocol] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
"","23463","shows correct page heading for each main module","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation","",""
"","2106","deletes the employee via API","","2026-03-24","passed","2026-03-24","","PIM Employee Management API","",""
"","1872","dashboard API endpoints return data without errors","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation API","",""
"","5769","[script tag] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","4800","shows expected title on dashboard page after login","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","4084","logout — session cookie invalidated and dashboard returns 401","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","5278","[template literal injection] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","3784","redirects unauthenticated request to login page — /web/index.php/dashboard/index","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Unauthenticated Access","",""
"","6521","password does not appear in the URL after a failed login attempt","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Sensitive Data in URLs","",""
"","15503","[svg onload] API rejects or stores firstName as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Name Fields","",""
"","6136","finds the employee by name in search results","","2026-03-24","passed","2026-03-24","","PIM - Employee Management","",""
"","2048","creates a new employee via API","","2026-03-24","passed","2026-03-24","","PIM Employee Management API","",""
"","1367","empty credentials — login redirects to login page and dashboard returns 401","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","9251","authenticated API endpoint returns 401 or redirects after logout","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Session Invalidation","",""
"","1843","finds the employee by name search","","2026-03-24","passed","2026-03-24","","PIM Employee Management API","",""
"","1829","after login — dashboard shortcuts API returns data","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","7652","shows error for incorrect password","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","9503","deletes the employee from the system","","2026-03-24","passed","2026-03-24","","PIM - Employee Management","",""
"","4909","incorrect password — login redirects to login page and dashboard returns 401","","2026-03-24","passed","2026-03-24","","Auth API","",""
"","3269","ESS user is denied access to admin API — Job Titles","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Authorisation — ESS vs Admin","",""
"","1972","redirects unauthenticated request to login page — /web/index.php/time/viewEmployeeTimesheet","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Unauthenticated Access","",""
"","8483","assigns an auto-generated numeric employee ID","","2026-03-24","passed","2026-03-24","","PIM - Employee Management","",""
"","2379","redirects unauthenticated request to login page — /web/index.php/pim/viewEmployeeList","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Unauthenticated Access","",""
"","4019","[img onerror] API rejects or stores street1 as literal string","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","XSS — Address Fields","",""
"","4414","all main menu modules are accessible via API after login","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation API","",""
"","16047","logs out and redirects to login page","","2026-03-24","passed","2026-03-24","","Auth and Navigation","",""
"","7060","shows all main menu items after login","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation","",""
"","2083","ESS user is denied access to admin API — Pay Grades","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Authorisation — ESS vs Admin","",""
"","1586","employee search API responds in under 1 second","Performance Benchmarks","2026-03-24","passed","2026-03-24","","API Response Time","",""
"","9420","session cookies are cleared from the browser after logout","3.3 Security Aware Testing","2026-03-24","passed","2026-03-24","","Session Invalidation","",""
"","4783","each module API returns a data array with correct structure","","2026-03-24","passed","2026-03-24","","Navigation and UI Validation API","",""
"","3244","report generation page loads in under 5 seconds","Performance Benchmarks","2026-03-24","passed","2026-03-24","","Page Load","",""
